"id","serial_number","card_name","rarity_id","set_id"
200,"34/62","Golbat",2,114
201,"35/62","Golduck",2,114
202,"36/62","Golem",2,114
203,"37/62","Graveler",2,114
204,"38/62","Kingler",2,114
205,"39/62","Magmar",2,114
206,"40/62","Omastar",2,114
207,"41/62","Sandslash",2,114
208,"42/62","Seadra",2,114
209,"43/62","Slowbro",2,114
210,"44/62","Tentacruel",2,114
211,"45/62","Weezing",2,114
212,"46/62","Ekans",1,114
213,"47/62","Geodude",1,114
214,"48/62","Grimer",1,114
215,"49/62","Horsea",1,114
216,"50/62","Kabuto",1,114
217,"51/62","Krabby",1,114
218,"52/62","Omanyte",1,114
219,"53/62","Psyduck",1,114
220,"54/62","Shellder",1,114
221,"55/62","Slowpoke",1,114
222,"56/62","Tentacool",1,114
223,"57/62","Zubat",1,114
224,"58/62","Mr. Fuji",2,114
225,"59/62","Energy Search",1,114
226,"60/62","Gambler",1,114
227,"61/62","Recycle",1,114
228,"62/62","Mysterious Fossil",1,114
229,"1/82","Dark Alakazam",4,116
230,"2/82","Dark Arbok",4,116
231,"3/82","Dark Blastoise",4,116
232,"4/82","Dark Charizard",4,116
233,"5/82","Dark Dragonite",4,116
234,"6/82","Dark Dugtrio",4,116
235,"7/82","Dark Golbat",4,116
236,"8/82","Dark Gyarados",4,116
237,"9/82","Dark Hypno",4,116
238,"10/82","Dark Machamp",4,116
239,"11/82","Dark Magneton",4,116
240,"12/82","Dark Slowbro",4,116
241,"13/82","Dark Vileplume",4,116
242,"14/82","Dark Weezing",4,116
243,"15/82","Here Comes Team Rocket!",4,116
244,"16/82","Rocket's Sneak Attack",4,116
245,"17/82","Rainbow Energy",4,116
246,"18/82","Dark Alakazam",3,116
247,"19/82","Dark Arbok",3,116
248,"20/82","Dark Blastoise",3,116
249,"21/82","Dark Charizard",3,116
250,"22/82","Dark Dragonite",3,116
251,"23/82","Dark Dugtrio",3,116
252,"24/82","Dark Golbat",3,116
253,"25/82","Dark Gyarados",3,116
254,"26/82","Dark Hypno",3,116
255,"27/82","Dark Machamp",3,116
256,"28/82","Dark Magneton",3,116
257,"29/82","Dark Slowbro",3,116
258,"30/82","Dark Vileplume",3,116
259,"31/82","Dark Weezing",3,116
260,"32/82","Dark Charmeleon",2,116
261,"33/82","Dark Dragonair",2,116
262,"34/82","Dark Electrode",2,116
263,"35/82","Dark Flareon",2,116
264,"36/82","Dark Gloom",2,116
265,"37/82","Dark Golduck",2,116
266,"38/82","Dark Jolteon",2,116
267,"39/82","Dark Kadabra",2,116
268,"40/82","Dark Machoke",2,116
269,"41/82","Dark Muk",2,116
270,"42/82","Dark Persian",2,116
271,"43/82","Dark Primeape",2,116
272,"44/82","Dark Rapidash",2,116
273,"45/82","Dark Vaporeon",2,116
274,"46/82","Dark Wartortle",2,116
275,"47/82","Magikarp",2,116
276,"48/82","Porygon",2,116
277,"49/82","Abra",1,116
278,"50/82","Charmander",1,116
279,"51/82","Dark Raticate",1,116
280,"52/82","Diglett",1,116
281,"53/82","Dratini",1,116
282,"54/82","Drowzee",1,116
283,"55/82","Eevee",1,116
284,"56/82","Ekans",1,116
285,"57/82","Grimer",1,116
286,"58/82","Koffing",1,116
287,"59/82","Machop",1,116
288,"60/82","Magnemite",1,116
289,"61/82","Mankey",1,116
290,"62/82","Meowth",1,116
291,"63/82","Oddish",1,116
292,"64/82","Ponyta",1,116
293,"65/82","Psyduck",1,116
294,"66/82","Rattata",1,116
295,"67/82","Slowpoke",1,116
296,"68/82","Squirtle",1,116
297,"69/82","Voltorb",1,116
298,"70/82","Zubat",1,116
299,"71/82","Here Comes Team Rocket!",3,116
300,"72/82","Rocket's Sneak Attack",3,116
301,"73/82","The Boss's Way",2,116
302,"74/82","Challenge!",2,116
303,"75/82","Digger",2,116
304,"76/82","Imposter Oak's Revenge",2,116
305,"77/82","Nightly Garbage Run",2,116
306,"78/82","Goop Gas Attack",1,116
307,"79/82","Sleep!",1,116
308,"80/82","Rainbow Energy",3,116
309,"81/82","Full Heal Energy",2,116
310,"82/82","Potion Energy",2,116
311,"83/82","Dark Raichu",4,116
312,"1/132","Ampharos",4,92
313,"2/132","Blastoise",4,92
314,"3/132","Charizard",4,92
315,"4/132","Entei",4,92
316,"5/132","Flygon",4,92
317,"6/132","Gallade",4,92
318,"7/132","Gardevoir",4,92
319,"8/132","Gastrodon",4,92
320,"9/132","Gastrodon",4,92
321,"10/132","Ho-Oh",4,92
322,"11/132","Jumpluff",4,92
323,"12/132","Lickilicky",4,92
324,"13/132","Ludicolo",4,92
325,"14/132","Lugia",4,92
326,"15/132","Mew",4,92
327,"16/132","Raikou",4,92
328,"17/132","Roserade",4,92
329,"18/132","Salamence",4,92
330,"19/132","Suicune",4,92
331,"20/132","Venusaur",4,92
332,"21/132","Absol",3,92
333,"22/132","Arcanine",3,92
334,"23/132","Banette",3,92
335,"24/132","Dugtrio",3,92
336,"25/132","Electivire",3,92
337,"26/132","Electrode",3,92
338,"27/132","Furret",3,92
339,"28/132","Golduck",3,92
340,"29/132","Golem",3,92
341,"30/132","Jynx",3,92
342,"31/132","Magmortar",3,92
343,"32/132","Minun",3,92
344,"33/132","Mothim",3,92
345,"34/132","Nidoking",3,92
346,"35/132","Pidgeot",3,92
347,"36/132","Plusle",3,92
348,"37/132","Sharpedo",3,92
349,"38/132","Sunflora",3,92
350,"39/132","Unown S",3,92
351,"40/132","Weavile",3,92
352,"41/132","Wormadam",3,92
353,"42/132","Wormadam",3,92
354,"43/132","Wormadam",3,92
355,"44/132","Xatu",3,92
356,"45/132","Breloom",2,92
357,"46/132","Charmeleon",2,92
358,"47/132","Cloyster",2,92
359,"48/132","Donphan",2,92
360,"49/132","Farfetch'd",2,92
361,"50/132","Flaaffy",2,92
362,"51/132","Ivysaur",2,92
363,"52/132","Kecleon",2,92
364,"53/132","Kirlia",2,92
365,"54/132","Lombre",2,92
366,"55/132","Miltank",2,92
367,"56/132","Muk",2,92
368,"57/132","Nidorino",2,92
369,"58/132","Pidgeotto",2,92
370,"59/132","Pinsir",2,92
371,"60/132","Quagsire",2,92
372,"61/132","Raticate",2,92
373,"62/132","Roselia",2,92
374,"63/132","Sableye",2,92
375,"64/132","Shelgon",2,92
376,"65/132","Skiploom",2,92
377,"66/132","Smeargle",2,92
378,"67/132","Smoochum",2,92
379,"68/132","Unown K",2,92
380,"69/132","Unown N",2,92
381,"70/132","Unown O",2,92
382,"71/132","Unown X",2,92
383,"72/132","Unown Z",2,92
384,"73/132","Venomoth",2,92
385,"74/132","Vibrava",2,92
386,"75/132","Wartortle",2,92
387,"76/132","Bagon",1,92
388,"77/132","Bulbasaur",1,92
389,"78/132","Burmy",1,92
390,"79/132","Burmy",1,92
391,"80/132","Burmy",1,92
392,"81/132","Carvanha",1,92
393,"82/132","Charmander",1,92
394,"83/132","Clefairy",1,92
395,"84/132","Corsola",1,92
396,"85/132","Diglett",1,92
397,"86/132","Duskull",1,92
398,"87/132","Electabuzz",1,92
399,"88/132","Grimer",1,92
400,"89/132","Growlithe",1,92
401,"90/132","Hoppip",1,92
402,"91/132","Lickitung",1,92
403,"92/132","Lotad",1,92
404,"93/132","Magmar",1,92
405,"94/132","Mareep",1,92
406,"95/132","Murkrow",1,92
407,"96/132","Natu",1,92
408,"97/132","Nidoran♂",1,92
409,"98/132","Phanpy",1,92
410,"99/132","Pidgey",1,92
411,"100/132","Psyduck",1,92
412,"101/132","Qwilfish",1,92
413,"102/132","Ralts",1,92
414,"103/132","Rattata",1,92
415,"104/132","Sentret",1,92
416,"105/132","Shellder",1,92
417,"106/132","Shellos",1,92
418,"107/132","Shellos",1,92
419,"108/132","Shroomish",1,92
420,"109/132","Shuckle",1,92
421,"110/132","Shuppet",1,92
422,"111/132","Spinda",1,92
423,"112/132","Squirtle",1,92
424,"113/132","Stantler",1,92
425,"114/132","Sunkern",1,92
426,"115/132","Trapinch",1,92
427,"116/132","Venonat",1,92
428,"117/132","Voltorb",1,92
429,"118/132","Wooper",1,92
430,"119/132","Bebe's Search",2,92
431,"120/132","Night Maintenance",2,92
432,"121/132","PlusPower",2,92
433,"122/132","Professor Oak's Visit",2,92
434,"123/132","Professor Rowan",2,92
435,"124/132","Rival",2,92
436,"125/132","Roseanne's Research",2,92
437,"126/132","Team Galactic's Mars",2,92
438,"127/132","Potion",1,92
439,"128/132","Switch",1,92
440,"129/132","Darkness Energy",2,92
441,"130/132","Metal Energy",2,92
442,"131/132","Gardevoir LV.X",NULL,NULL
443,"132/132","Honchkrow LV.X",NULL,NULL
444,"1/132","Ampharos",4,92
445,"2/132","Blastoise",4,92
446,"3/132","Charizard",4,92
447,"4/132","Entei",4,92
448,"5/132","Flygon",4,92
449,"6/132","Gallade",4,92
450,"7/132","Gardevoir",4,92
451,"8/132","Gastrodon",4,92
452,"9/132","Gastrodon",4,92
453,"10/132","Ho-Oh",4,92
454,"11/132","Jumpluff",4,92
455,"12/132","Lickilicky",4,92
456,"13/132","Ludicolo",4,92
457,"14/132","Lugia",4,92
458,"15/132","Mew",4,92
459,"16/132","Raikou",4,92
460,"17/132","Roserade",4,92
461,"18/132","Salamence",4,92
462,"19/132","Suicune",4,92
463,"20/132","Venusaur",4,92
464,"21/132","Absol",3,92
465,"22/132","Arcanine",3,92
466,"23/132","Banette",3,92
467,"24/132","Dugtrio",3,92
468,"25/132","Electivire",3,92
469,"26/132","Electrode",3,92
470,"27/132","Furret",3,92
471,"28/132","Golduck",3,92
472,"29/132","Golem",3,92
473,"30/132","Jynx",3,92
474,"31/132","Magmortar",3,92
475,"32/132","Minun",3,92
476,"33/132","Mothim",3,92
477,"34/132","Nidoking",3,92
478,"35/132","Pidgeot",3,92
479,"36/132","Plusle",3,92
480,"37/132","Sharpedo",3,92
481,"38/132","Sunflora",3,92
482,"39/132","Unown S",3,92
483,"40/132","Weavile",3,92
484,"41/132","Wormadam",3,92
485,"42/132","Wormadam",3,92
486,"43/132","Wormadam",3,92
487,"44/132","Xatu",3,92
488,"45/132","Breloom",2,92
489,"46/132","Charmeleon",2,92
490,"47/132","Cloyster",2,92
491,"48/132","Donphan",2,92
492,"49/132","Farfetch'd",2,92
493,"50/132","Flaaffy",2,92
494,"51/132","Ivysaur",2,92
495,"52/132","Kecleon",2,92
496,"53/132","Kirlia",2,92
497,"54/132","Lombre",2,92
498,"55/132","Miltank",2,92
499,"56/132","Muk",2,92
500,"57/132","Nidorino",2,92
501,"58/132","Pidgeotto",2,92
502,"59/132","Pinsir",2,92
503,"60/132","Quagsire",2,92
504,"61/132","Raticate",2,92
505,"62/132","Roselia",2,92
506,"63/132","Sableye",2,92
507,"64/132","Shelgon",2,92
508,"65/132","Skiploom",2,92
509,"66/132","Smeargle",2,92
510,"67/132","Smoochum",2,92
511,"68/132","Unown K",2,92
512,"69/132","Unown N",2,92
513,"70/132","Unown O",2,92
514,"71/132","Unown X",2,92
515,"72/132","Unown Z",2,92
516,"73/132","Venomoth",2,92
517,"74/132","Vibrava",2,92
518,"75/132","Wartortle",2,92
519,"76/132","Bagon",1,92
520,"77/132","Bulbasaur",1,92
521,"78/132","Burmy",1,92
522,"79/132","Burmy",1,92
523,"80/132","Burmy",1,92
524,"81/132","Carvanha",1,92
525,"82/132","Charmander",1,92
526,"83/132","Clefairy",1,92
527,"84/132","Corsola",1,92
528,"85/132","Diglett",1,92
529,"86/132","Duskull",1,92
530,"87/132","Electabuzz",1,92
531,"88/132","Grimer",1,92
532,"89/132","Growlithe",1,92
533,"90/132","Hoppip",1,92
534,"91/132","Lickitung",1,92
535,"92/132","Lotad",1,92
536,"93/132","Magmar",1,92
537,"94/132","Mareep",1,92
538,"95/132","Murkrow",1,92
539,"96/132","Natu",1,92
540,"97/132","Nidoran♂",1,92
541,"98/132","Phanpy",1,92
542,"99/132","Pidgey",1,92
543,"100/132","Psyduck",1,92
544,"101/132","Qwilfish",1,92
545,"102/132","Ralts",1,92
546,"103/132","Rattata",1,92
547,"104/132","Sentret",1,92
548,"105/132","Shellder",1,92
549,"106/132","Shellos",1,92
550,"107/132","Shellos",1,92
551,"108/132","Shroomish",1,92
552,"109/132","Shuckle",1,92
553,"110/132","Shuppet",1,92
554,"111/132","Spinda",1,92
555,"112/132","Squirtle",1,92
556,"113/132","Stantler",1,92
557,"114/132","Sunkern",1,92
558,"115/132","Trapinch",1,92
559,"116/132","Venonat",1,92
560,"117/132","Voltorb",1,92
561,"118/132","Wooper",1,92
562,"119/132","Bebe's Search",2,92
563,"120/132","Night Maintenance",2,92
564,"121/132","PlusPower",2,92
565,"122/132","Professor Oak's Visit",2,92
566,"123/132","Professor Rowan",2,92
567,"124/132","Rival",2,92
568,"125/132","Roseanne's Research",2,92
569,"126/132","Team Galactic's Mars",2,92
570,"127/132","Potion",1,92
571,"128/132","Switch",1,92
572,"129/132","Darkness Energy",2,92
573,"130/132","Metal Energy",2,92
574,"131/132","Gardevoir LV.X",NULL,NULL
575,"132/132","Honchkrow LV.X",NULL,NULL
576,"1/111","Arcanine",4,86
577,"2/111","Bastiodon",4,86
578,"3/111","Darkrai",4,86
579,"4/111","Floatzel",4,86
580,"5/111","Flygon",4,86
581,"6/111","Froslass",4,86
582,"7/111","Jirachi",4,86
583,"8/111","Lucario",4,86
584,"9/111","Luxray",4,86
585,"10/111","Mismagius",4,86
586,"11/111","Rampardos",4,86
587,"12/111","Roserade",4,86
588,"13/111","Shiftry",4,86
589,"14/111","Aggron",3,86
590,"15/111","Beedrill",3,86
591,"16/111","Bronzong",3,86
592,"17/111","Drapion",3,86
593,"18/111","Espeon",3,86
594,"19/111","Flareon",3,86
595,"20/111","Gallade",3,86
596,"21/111","Gastrodon",3,86
597,"22/111","Gastrodon",3,86
598,"23/111","Golem",3,86
599,"24/111","Heracross",3,86
600,"25/111","Hippowdon",3,86
601,"26/111","Jolteon",3,86
602,"27/111","Mamoswine",3,86
603,"28/111","Mr. Mime",3,86
604,"29/111","Nidoking",3,86
605,"30/111","Nidoqueen",3,86
606,"31/111","Raichu",3,86
607,"32/111","Rhyperior",3,86
608,"33/111","Snorlax",3,86
609,"34/111","Vaporeon",3,86
610,"35/111","Vespiquen",3,86
611,"36/111","Walrein",3,86
612,"37/111","Yanmega",3,86
613,"38/111","Alakazam",2,86
614,"39/111","Electrode",2,86
615,"40/111","Gengar",2,86
616,"41/111","Glaceon",2,86
617,"42/111","Hippowdon",2,86
618,"43/111","Infernape",2,86
619,"44/111","Lairon",2,86
620,"45/111","Leafeon",2,86
621,"46/111","Machamp",2,86
622,"47/111","Rapidash",2,86
623,"48/111","Scizor",2,86
624,"49/111","Sharpedo",2,86
625,"50/111","Starmie",2,86
626,"51/111","Steelix",2,86
627,"52/111","Tropius",2,86
628,"53/111","Vibrava",2,86
629,"54/111","Whiscash",2,86
630,"55/111","Aerodactyl",1,86
631,"56/111","Ambipom",1,86
632,"57/111","Aron",1,86
633,"58/111","Carvanha",1,86
634,"59/111","Eevee",1,86
635,"60/111","Flareon",1,86
636,"61/111","Forretress",1,86
637,"62/111","Gliscor",1,86
638,"63/111","Growlithe",1,86
639,"64/111","Hippopotas",1,86
640,"65/111","Houndoom",1,86
641,"66/111","Kakuna",1,86
642,"67/111","Kecleon",1,86
643,"68/111","Koffing",1,86
644,"69/111","Munchlax",1,86
645,"70/111","Munchlax",1,86
646,"71/111","Nidoran♀",1,86
647,"72/111","Nidoran♂",1,86
648,"73/111","Nidorina",1,86
649,"74/111","Nidorino",1,86
650,"75/111","Nuzleaf",1,86
651,"76/111","Quagsire",1,86
652,"77/111","Sealeo",1,86
653,"78/111","Seedot",1,86
654,"79/111","Shellos",1,86
655,"80/111","Shellos",1,86
656,"81/111","Snorlax",1,86
657,"82/111","Spheal",1,86
658,"83/111","Staryu",1,86
659,"84/111","Trapinch",1,86
660,"85/111","Turtwig",1,86
661,"86/111","Weedle",1,86
662,"87/111","Weezing",1,86
663,"88/111","Aaron's Collection",2,86
664,"89/111","Bebe's Search",2,86
665,"90/111","Bertha's Warmth",2,86
666,"91/111","Flint's Willpower",2,86
667,"92/111","Lucian's Assignment",2,86
668,"93/111","Pokémon Contest Hall",2,86
669,"94/111","Sunyshore City Gym",2,86
670,"95/111","Team Galactic's Invention G-107 Technical Machine",2,86
671,"96/111","Team Galactic's Invention G-109 SP Radar",2,86
672,"97/111","Underground Expedition",2,86
673,"98/111","Volkner's Philosophy",2,86
674,"99/111","Darkness Energy",2,86
675,"100/111","Metal Energy",2,86
676,"101/111","SP Energy",2,86
677,"102/111","Upper Energy",2,86
678,"103/111","Alakazam",NULL,NULL
679,"104/111","Floatzel",NULL,NULL
680,"105/111","Flygon LV.X",NULL,NULL
681,"106/111","Gallade",NULL,NULL
682,"107/111","Hippowdon LV.X",NULL,NULL
683,"108/111","Infernape",NULL,NULL
684,"109/111","Luxray",NULL,NULL
685,"110/111","Mismagius",NULL,NULL
686,"111/111","Snorlax LV.X",NULL,NULL
687,"1/165","Alakazam",4,NULL
688,"2/165","Ampharos",4,NULL
689,"3/165","Arbok",4,NULL
690,"4/165","Blastoise",4,NULL
691,"5/165","Butterfree",4,NULL
692,"6/165","Charizard",4,NULL
693,"7/165","Clefable",4,NULL
694,"8/165","Cloyster",4,NULL
695,"9/165","Dragonite",4,NULL
696,"10/165","Dugtrio",4,NULL
697,"11/165","Fearow",4,NULL
698,"12/165","Feraligatr",4,NULL
699,"13/165","Gengar",4,NULL
700,"14/165","Golem",4,NULL
701,"15/165","Kingler",4,NULL
702,"16/165","Machamp",4,NULL
703,"17/165","Magby",4,NULL
704,"18/165","Meganium",4,NULL
705,"19/165","Mew",4,NULL
706,"20/165","Mewtwo",4,NULL
707,"21/165","Ninetales",4,NULL
708,"22/165","Pichu",4,NULL
709,"23/165","Pidgeot",4,NULL
710,"24/165","Poliwrath",4,NULL
711,"25/165","Raichu",4,NULL
712,"26/165","Rapidash",4,NULL
713,"27/165","Skarmory",4,NULL
714,"28/165","Typhlosion",4,NULL
715,"29/165","Tyranitar",4,NULL
716,"30/165","Venusaur",4,NULL
717,"31/165","Vileplume",4,NULL
718,"32/165","Weezing",4,NULL
719,"33/165","Alakazam",3,NULL
720,"34/165","Ampharos",3,NULL
721,"35/165","Arbok",3,NULL
722,"36/165","Blastoise",3,NULL
723,"37/165","Blastoise",3,NULL
724,"38/165","Butterfree",3,NULL
725,"39/165","Charizard",3,NULL
726,"40/165","Charizard",3,NULL
727,"41/165","Clefable",3,NULL
728,"42/165","Cloyster",3,NULL
729,"43/165","Dragonite",3,NULL
730,"44/165","Dugtrio",3,NULL
731,"45/165","Fearow",3,NULL
732,"46/165","Feraligatr",3,NULL
733,"47/165","Feraligatr",3,NULL
734,"48/165","Gengar",3,NULL
735,"49/165","Golem",3,NULL
736,"50/165","Kingler",3,NULL
737,"51/165","Machamp",3,NULL
738,"52/165","Magby",3,NULL
739,"53/165","Meganium",3,NULL
740,"54/165","Meganium",3,NULL
741,"55/165","Mew",3,NULL
742,"56/165","Mewtwo",3,NULL
743,"57/165","Ninetales",3,NULL
744,"58/165","Pichu",3,NULL
745,"59/165","Pidgeot",3,NULL
746,"60/165","Poliwrath",3,NULL
747,"61/165","Raichu",3,NULL
748,"62/165","Rapidash",3,NULL
749,"63/165","Skarmory",3,NULL
750,"64/165","Typhlosion",3,NULL
751,"65/165","Typhlosion",3,NULL
752,"66/165","Tyranitar",3,NULL
753,"67/165","Venusaur",3,NULL
754,"68/165","Venusaur",3,NULL
755,"69/165","Vileplume",3,NULL
756,"70/165","Weezing",3,NULL
757,"71/165","Bayleef",2,NULL
758,"72/165","Chansey",2,NULL
759,"73/165","Charmeleon",2,NULL
760,"74/165","Croconaw",2,NULL
761,"75/165","Dragonair",2,NULL
762,"76/165","Electabuzz",2,NULL
763,"77/165","Flaaffy",2,NULL
764,"78/165","Gloom",2,NULL
765,"79/165","Graveler",2,NULL
766,"80/165","Haunter",2,NULL
767,"81/165","Hitmonlee",2,NULL
768,"82/165","Ivysaur",2,NULL
769,"83/165","Jynx",2,NULL
770,"84/165","Kadabra",2,NULL
771,"85/165","Machoke",2,NULL
772,"86/165","Magmar",2,NULL
773,"87/165","Metapod",2,NULL
774,"88/165","Pidgeotto",2,NULL
775,"89/165","Poliwhirl",2,NULL
776,"90/165","Pupitar",2,NULL
777,"91/165","Quilava",2,NULL
778,"92/165","Wartortle",2,NULL
779,"93/165","Abra",1,NULL
780,"94/165","Bulbasaur",1,NULL
781,"95/165","Bulbasaur",1,NULL
782,"96/165","Caterpie",1,NULL
783,"97/165","Charmander",1,NULL
784,"98/165","Charmander",1,NULL
785,"99/165","Chikorita",1,NULL
786,"100/165","Chikorita",1,NULL
787,"101/165","Clefairy",1,NULL
