,serial_number,name,type,rarity,set
118,17/64,Clefable,Colorless,Rare,Jungle 
119,18/64,Electrode,Lightning,Rare,Jungle 
120,19/64,Flareon,Fire,Rare,Jungle 
121,20/64,Jolteon,Lightning,Rare,Jungle 
122,21/64,Kangaskhan,Colorless,Rare,Jungle 
123,22/64,Mr. Mime,Psychic,Rare,Jungle 
124,23/64,Nidoqueen,Grass,Rare,Jungle 
125,24/64,Pidgeot,Colorless,Rare,Jungle 
126,25/64,Pinsir,Grass,Rare,Jungle 
127,26/64,Scyther,Grass,Rare,Jungle 
128,27/64,Snorlax,Colorless,Rare,Jungle 
129,28/64,Vaporeon,Water,Rare,Jungle 
130,29/64,Venomoth,Grass,Rare,Jungle 
131,30/64,Victreebel,Grass,Rare,Jungle 
132,31/64,Vileplume,Grass,Rare,Jungle 
133,32/64,Wigglytuff,Colorless,Rare,Jungle 
134,33/64,Butterfree,Grass,Uncommon,Jungle 
135,34/64,Dodrio,Colorless,Uncommon,Jungle 
136,35/64,Exeggutor,Grass,Uncommon,Jungle 
137,36/64,Fearow,Colorless,Uncommon,Jungle 
138,37/64,Gloom,Grass,Uncommon,Jungle 
139,38/64,Lickitung,Colorless,Uncommon,Jungle 
140,39/64,Marowak,Fighting,Uncommon,Jungle 
141,40/64,Nidorina,Grass,Uncommon,Jungle 
142,41/64,Parasect,Grass,Uncommon,Jungle 
143,42/64,Persian,Colorless,Uncommon,Jungle 
144,43/64,Primeape,Fighting,Uncommon,Jungle 
145,44/64,Rapidash,Fire,Uncommon,Jungle 
146,45/64,Rhydon,Fighting,Uncommon,Jungle 
147,46/64,Seaking,Water,Uncommon,Jungle 
148,47/64,Tauros,Colorless,Uncommon,Jungle 
149,48/64,Weepinbell,Grass,Uncommon,Jungle 
150,49/64,Bellsprout,Grass,Common,Jungle 
151,50/64,Cubone,Fighting,Common,Jungle 
152,51/64,Eevee,Colorless,Common,Jungle 
153,52/64,Exeggcute,Grass,Common,Jungle 
154,53/64,Goldeen,Water,Common,Jungle 
155,54/64,Jigglypuff,Colorless,Common,Jungle 
156,55/64,Mankey,Fighting,Common,Jungle 
157,56/64,Meowth,Colorless,Common,Jungle 
158,57/64,Nidoran♀,Grass,Common,Jungle 
159,58/64,Oddish,Grass,Common,Jungle 
160,59/64,Paras,Grass,Common,Jungle 
161,60/64,Pikachu,Lightning,Common,Jungle 
162,61/64,Rhyhorn,Fighting,Common,Jungle 
163,62/64,Spearow,Colorless,Common,Jungle 
164,63/64,Venonat,Grass,Common,Jungle 
165,64/64,Poké Ball,T,Common,Jungle 
166,1/62,Aerodactyl,Fighting,Rare Holo,Fossil 
167,2/62,Articuno,Water,Rare Holo,Fossil 
168,3/62,Ditto,Colorless,Rare Holo,Fossil 
169,4/62,Dragonite,Colorless,Rare Holo,Fossil 
170,5/62,Gengar,Psychic,Rare Holo,Fossil 
171,6/62,Haunter,Psychic,Rare Holo,Fossil 
172,7/62,Hitmonlee,Fighting,Rare Holo,Fossil 
173,8/62,Hypno,Psychic,Rare Holo,Fossil 
174,9/62,Kabutops,Fighting,Rare Holo,Fossil 
175,10/62,Lapras,Water,Rare Holo,Fossil 
176,11/62,Magneton,Lightning,Rare Holo,Fossil 
177,12/62,Moltres,Fire,Rare Holo,Fossil 
178,13/62,Muk,Grass,Rare Holo,Fossil 
179,14/62,Raichu,Lightning,Rare Holo,Fossil 
180,15/62,Zapdos,Lightning,Rare Holo,Fossil 
181,16/62,Aerodactyl,Fighting,Rare,Fossil 
182,17/62,Articuno,Water,Rare,Fossil 
183,18/62,Ditto,Colorless,Rare,Fossil 
184,19/62,Dragonite,Colorless,Rare,Fossil 
185,20/62,Gengar,Psychic,Rare,Fossil 
186,21/62,Haunter,Psychic,Rare,Fossil 
187,22/62,Hitmonlee,Fighting,Rare,Fossil 
188,23/62,Hypno,Psychic,Rare,Fossil 
189,24/62,Kabutops,Fighting,Rare,Fossil 
190,25/62,Lapras,Water,Rare,Fossil 
191,26/62,Magneton,Lightning,Rare,Fossil 
192,27/62,Moltres,Fire,Rare,Fossil 
193,28/62,Muk,Grass,Rare,Fossil 
194,29/62,Raichu,Lightning,Rare,Fossil 
195,30/62,Zapdos,Lightning,Rare,Fossil 
196,31/62,Arbok,Grass,Uncommon,Fossil 
197,32/62,Cloyster,Water,Uncommon,Fossil 
198,33/62,Gastly,Psychic,Uncommon,Fossil 
199,34/62,Golbat,Grass,Uncommon,Fossil 
200,35/62,Golduck,Water,Uncommon,Fossil 
201,36/62,Golem,Fighting,Uncommon,Fossil 
202,37/62,Graveler,Fighting,Uncommon,Fossil 
203,38/62,Kingler,Water,Uncommon,Fossil 
204,39/62,Magmar,Fire,Uncommon,Fossil 
205,40/62,Omastar,Water,Uncommon,Fossil 
206,41/62,Sandslash,Fighting,Uncommon,Fossil 
207,42/62,Seadra,Water,Uncommon,Fossil 
208,43/62,Slowbro,Psychic,Uncommon,Fossil 
209,44/62,Tentacruel,Water,Uncommon,Fossil 
210,45/62,Weezing,Grass,Uncommon,Fossil 
211,46/62,Ekans,Grass,Common,Fossil 
212,47/62,Geodude,Fighting,Common,Fossil 
213,48/62,Grimer,Grass,Common,Fossil 
214,49/62,Horsea,Water,Common,Fossil 
215,50/62,Kabuto,Fighting,Common,Fossil 
216,51/62,Krabby,Water,Common,Fossil 
217,52/62,Omanyte,Water,Common,Fossil 
218,53/62,Psyduck,Water,Common,Fossil 
219,54/62,Shellder,Water,Common,Fossil 
220,55/62,Slowpoke,Psychic,Common,Fossil 
221,56/62,Tentacool,Water,Common,Fossil 
222,57/62,Zubat,Grass,Common,Fossil 
223,58/62,Mr. Fuji,T,Uncommon,Fossil 
224,59/62,Energy Search,T,Common,Fossil 
225,60/62,Gambler,T,Common,Fossil 
226,61/62,Recycle,T,Common,Fossil 
227,62/62,Mysterious Fossil,T,Common,Fossil 
228,1/82,Dark Alakazam,Psychic,Rare Holo,Team Rocket 
229,2/82,Dark Arbok,Grass,Rare Holo,Team Rocket 
230,3/82,Dark Blastoise,Water,Rare Holo,Team Rocket 
231,4/82,Dark Charizard,Fire,Rare Holo,Team Rocket 
232,5/82,Dark Dragonite,Colorless,Rare Holo,Team Rocket 
233,6/82,Dark Dugtrio,Fighting,Rare Holo,Team Rocket 
234,7/82,Dark Golbat,Grass,Rare Holo,Team Rocket 
235,8/82,Dark Gyarados,Water,Rare Holo,Team Rocket 
236,9/82,Dark Hypno,Psychic,Rare Holo,Team Rocket 
237,10/82,Dark Machamp,Fighting,Rare Holo,Team Rocket 
238,11/82,Dark Magneton,Lightning,Rare Holo,Team Rocket 
239,12/82,Dark Slowbro,Psychic,Rare Holo,Team Rocket 
240,13/82,Dark Vileplume,Grass,Rare Holo,Team Rocket 
241,14/82,Dark Weezing,Grass,Rare Holo,Team Rocket 
242,15/82,Here Comes Team Rocket!,T,Rare Holo,Team Rocket 
243,16/82,Rocket's Sneak Attack,T,Rare Holo,Team Rocket 
244,17/82,Rainbow Energy,Rainbow,Rare Holo,Team Rocket 
245,18/82,Dark Alakazam,Psychic,Rare,Team Rocket 
246,19/82,Dark Arbok,Grass,Rare,Team Rocket 
247,20/82,Dark Blastoise,Water,Rare,Team Rocket 
248,21/82,Dark Charizard,Fire,Rare,Team Rocket 
249,22/82,Dark Dragonite,Colorless,Rare,Team Rocket 
250,23/82,Dark Dugtrio,Fighting,Rare,Team Rocket 
251,24/82,Dark Golbat,Grass,Rare,Team Rocket 
252,25/82,Dark Gyarados,Water,Rare,Team Rocket 
253,26/82,Dark Hypno,Psychic,Rare,Team Rocket 
254,27/82,Dark Machamp,Fighting,Rare,Team Rocket 
255,28/82,Dark Magneton,Lightning,Rare,Team Rocket 
256,29/82,Dark Slowbro,Psychic,Rare,Team Rocket 
257,30/82,Dark Vileplume,Grass,Rare,Team Rocket 
258,31/82,Dark Weezing,Grass,Rare,Team Rocket 
259,32/82,Dark Charmeleon,Fire,Uncommon,Team Rocket 
260,33/82,Dark Dragonair,Colorless,Uncommon,Team Rocket 
261,34/82,Dark Electrode,Lightning,Uncommon,Team Rocket 
262,35/82,Dark Flareon,Fire,Uncommon,Team Rocket 
263,36/82,Dark Gloom,Grass,Uncommon,Team Rocket 
264,37/82,Dark Golduck,Water,Uncommon,Team Rocket 
265,38/82,Dark Jolteon,Lightning,Uncommon,Team Rocket 
266,39/82,Dark Kadabra,Psychic,Uncommon,Team Rocket 
267,40/82,Dark Machoke,Fighting,Uncommon,Team Rocket 
268,41/82,Dark Muk,Grass,Uncommon,Team Rocket 
269,42/82,Dark Persian,Colorless,Uncommon,Team Rocket 
270,43/82,Dark Primeape,Fighting,Uncommon,Team Rocket 
271,44/82,Dark Rapidash,Fire,Uncommon,Team Rocket 
272,45/82,Dark Vaporeon,Water,Uncommon,Team Rocket 
273,46/82,Dark Wartortle,Water,Uncommon,Team Rocket 
274,47/82,Magikarp,Water,Uncommon,Team Rocket 
275,48/82,Porygon,Colorless,Uncommon,Team Rocket 
276,49/82,Abra,Psychic,Common,Team Rocket 
277,50/82,Charmander,Fire,Common,Team Rocket 
278,51/82,Dark Raticate,Colorless,Common,Team Rocket 
279,52/82,Diglett,Fighting,Common,Team Rocket 
280,53/82,Dratini,Colorless,Common,Team Rocket 
281,54/82,Drowzee,Psychic,Common,Team Rocket 
282,55/82,Eevee,Colorless,Common,Team Rocket 
283,56/82,Ekans,Grass,Common,Team Rocket 
284,57/82,Grimer,Grass,Common,Team Rocket 
285,58/82,Koffing,Grass,Common,Team Rocket 
286,59/82,Machop,Fighting,Common,Team Rocket 
287,60/82,Magnemite,Lightning,Common,Team Rocket 
288,61/82,Mankey,Fighting,Common,Team Rocket 
289,62/82,Meowth,Colorless,Common,Team Rocket 
290,63/82,Oddish,Grass,Common,Team Rocket 
291,64/82,Ponyta,Fire,Common,Team Rocket 
292,65/82,Psyduck,Water,Common,Team Rocket 
293,66/82,Rattata,Colorless,Common,Team Rocket 
294,67/82,Slowpoke,Psychic,Common,Team Rocket 
295,68/82,Squirtle,Water,Common,Team Rocket 
296,69/82,Voltorb,Lightning,Common,Team Rocket 
297,70/82,Zubat,Grass,Common,Team Rocket 
298,71/82,Here Comes Team Rocket!,T,Rare,Team Rocket 
299,72/82,Rocket's Sneak Attack,T,Rare,Team Rocket 
300,73/82,The Boss's Way,T,Uncommon,Team Rocket 
301,74/82,Challenge!,T,Uncommon,Team Rocket 
302,75/82,Digger,T [R],Uncommon,Team Rocket 
303,76/82,Imposter Oak's Revenge,T,Uncommon,Team Rocket 
304,77/82,Nightly Garbage Run,T [R],Uncommon,Team Rocket 
305,78/82,Goop Gas Attack,T,Common,Team Rocket 
306,79/82,Sleep!,T [R],Common,Team Rocket 
307,80/82,Rainbow Energy,Rainbow,Rare,Team Rocket 
308,81/82,Full Heal Energy,Colorless,Uncommon,Team Rocket 
309,82/82,Potion Energy,Colorless,Uncommon,Team Rocket 
310,83/82,Dark Raichu,Lightning,Rare Holo,Team Rocket 
311,1/132,Blaine's Moltres,Fire,Rare Holo,Gym Heroes 
312,2/132,Brock's Rhydon,Fighting,Rare Holo,Gym Heroes 
313,3/132,Erika's Clefable,Colorless,Rare Holo,Gym Heroes 
314,4/132,Erika's Dragonair,Colorless,Rare Holo,Gym Heroes 
315,5/132,Erika's Vileplume,Grass,Rare Holo,Gym Heroes 
316,6/132,Lt. Surge's Electabuzz,Lightning,Rare Holo,Gym Heroes 
317,7/132,Lt. Surge's Fearow,Colorless,Rare Holo,Gym Heroes 
318,8/132,Lt. Surge's Magneton,Lightning,Rare Holo,Gym Heroes 
319,9/132,Misty's Seadra,Water,Rare Holo,Gym Heroes 
320,10/132,Misty's Tentacruel,Water,Rare Holo,Gym Heroes 
321,11/132,Rocket's Hitmonchan,Fighting,Rare Holo,Gym Heroes 
322,12/132,Rocket's Moltres,Fire,Rare Holo,Gym Heroes 
323,13/132,Rocket's Scyther,Grass,Rare Holo,Gym Heroes 
324,14/132,Sabrina's Gengar,Psychic,Rare Holo,Gym Heroes 
325,15/132,Brock,T,Rare Holo,Gym Heroes 
326,16/132,Erika,T,Rare Holo,Gym Heroes 
327,17/132,Lt. Surge,T,Rare Holo,Gym Heroes 
328,18/132,Misty,T,Rare Holo,Gym Heroes 
329,19/132,The Rocket's Trap,T,Rare Holo,Gym Heroes 
330,20/132,Brock's Golem,Fighting,Rare,Gym Heroes 
331,21/132,Brock's Onix,Fighting,Rare,Gym Heroes 
332,22/132,Brock's Rhyhorn,Fighting,Rare,Gym Heroes 
333,23/132,Brock's Sandslash,Fighting,Rare,Gym Heroes 
334,24/132,Brock's Zubat,Grass,Rare,Gym Heroes 
335,25/132,Erika's Clefairy,Colorless,Rare,Gym Heroes 
336,26/132,Erika's Victreebel,Grass,Rare,Gym Heroes 
337,27/132,Lt. Surge's Electabuzz,Lightning,Rare,Gym Heroes 
338,28/132,Lt. Surge's Raichu,Lightning,Rare,Gym Heroes 
339,29/132,Misty's Cloyster,Water,Rare,Gym Heroes 
340,30/132,Misty's Goldeen,Water,Rare,Gym Heroes 
341,31/132,Misty's Poliwrath,Water,Rare,Gym Heroes 
342,32/132,Misty's Tentacool,Water,Rare,Gym Heroes 
343,33/132,Rocket's Snorlax,Colorless,Rare,Gym Heroes 
344,34/132,Sabrina's Venomoth,Grass,Rare,Gym Heroes 
345,35/132,Blaine's Growlithe,Fire,Uncommon,Gym Heroes 
346,36/132,Blaine's Kangaskhan,Colorless,Uncommon,Gym Heroes 
347,37/132,Blaine's Magmar,Fire,Uncommon,Gym Heroes 
348,38/132,Brock's Geodude,Fighting,Uncommon,Gym Heroes 
349,39/132,Brock's Golbat,Grass,Uncommon,Gym Heroes 
350,40/132,Brock's Graveler,Fighting,Uncommon,Gym Heroes 
351,41/132,Brock's Lickitung,Colorless,Uncommon,Gym Heroes 
352,42/132,Erika's Dratini,Colorless,Uncommon,Gym Heroes 
353,43/132,Erika's Exeggcute,Grass,Uncommon,Gym Heroes 
354,44/132,Erika's Exeggutor,Grass,Uncommon,Gym Heroes 
355,45/132,Erika's Gloom,Grass,Uncommon,Gym Heroes 
356,46/132,Erika's Gloom,Grass,Uncommon,Gym Heroes 
357,47/132,Erika's Oddish,Grass,Uncommon,Gym Heroes 
358,48/132,Erika's Weepinbell,Grass,Uncommon,Gym Heroes 
359,49/132,Erika's Weepinbell,Grass,Uncommon,Gym Heroes 
360,50/132,Lt. Surge's Magnemite,Lightning,Uncommon,Gym Heroes 
361,51/132,Lt. Surge's Raticate,Colorless,Uncommon,Gym Heroes 
362,52/132,Lt. Surge's Spearow,Colorless,Uncommon,Gym Heroes 
363,53/132,Misty's Poliwhirl,Water,Uncommon,Gym Heroes 
364,54/132,Misty's Psyduck,Water,Uncommon,Gym Heroes 
365,55/132,Misty's Seaking,Water,Uncommon,Gym Heroes 
366,56/132,Misty's Starmie,Water,Uncommon,Gym Heroes 
367,57/132,Misty's Tentacool,Water,Uncommon,Gym Heroes 
368,58/132,Sabrina's Haunter,Psychic,Uncommon,Gym Heroes 
369,59/132,Sabrina's Jynx,Psychic,Uncommon,Gym Heroes 
370,60/132,Sabrina's Slowbro,Psychic,Uncommon,Gym Heroes 
371,61/132,Blaine's Charmander,Fire,Common,Gym Heroes 
372,62/132,Blaine's Growlithe,Fire,Common,Gym Heroes 
373,63/132,Blaine's Ponyta,Fire,Common,Gym Heroes 
374,64/132,Blaine's Tauros,Colorless,Common,Gym Heroes 
375,65/132,Blaine's Vulpix,Fire,Common,Gym Heroes 
376,66/132,Brock's Geodude,Fighting,Common,Gym Heroes 
377,67/132,Brock's Mankey,Fighting,Common,Gym Heroes 
378,68/132,Brock's Mankey,Fighting,Common,Gym Heroes 
379,69/132,Brock's Onix,Fighting,Common,Gym Heroes 
380,70/132,Brock's Rhyhorn,Fighting,Common,Gym Heroes 
381,71/132,Brock's Sandshrew,Fighting,Common,Gym Heroes 
382,72/132,Brock's Sandshrew,Fighting,Common,Gym Heroes 
383,73/132,Brock's Vulpix,Fire,Common,Gym Heroes 
384,74/132,Brock's Zubat,Grass,Common,Gym Heroes 
385,75/132,Erika's Bellsprout,Grass,Common,Gym Heroes 
386,76/132,Erika's Bellsprout,Grass,Common,Gym Heroes 
387,77/132,Erika's Exeggcute,Grass,Common,Gym Heroes 
388,78/132,Erika's Oddish,Grass,Common,Gym Heroes 
389,79/132,Erika's Tangela,Grass,Common,Gym Heroes 
390,80/132,Lt. Surge's Magnemite,Lightning,Common,Gym Heroes 
391,81/132,Lt. Surge's Pikachu,Lightning,Common,Gym Heroes 
392,82/132,Lt. Surge's Rattata,Colorless,Common,Gym Heroes 
393,83/132,Lt. Surge's Spearow,Colorless,Common,Gym Heroes 
394,84/132,Lt. Surge's Voltorb,Lightning,Common,Gym Heroes 
395,85/132,Misty's Goldeen,Water,Common,Gym Heroes 
396,86/132,Misty's Horsea,Water,Common,Gym Heroes 
397,87/132,Misty's Poliwag,Water,Common,Gym Heroes 
398,88/132,Misty's Seel,Water,Common,Gym Heroes 
399,89/132,Misty's Shellder,Water,Common,Gym Heroes 
400,90/132,Misty's Staryu,Water,Common,Gym Heroes 
401,91/132,Sabrina's Abra,Psychic,Common,Gym Heroes 
402,92/132,Sabrina's Drowzee,Psychic,Common,Gym Heroes 
403,93/132,Sabrina's Gastly,Psychic,Common,Gym Heroes 
404,94/132,Sabrina's Mr. Mime,Psychic,Common,Gym Heroes 
405,95/132,Sabrina's Slowpoke,Psychic,Common,Gym Heroes 
406,96/132,Sabrina's Venonat,Grass,Common,Gym Heroes 
407,97/132,Blaine's Quiz #1,T,Rare,Gym Heroes 
408,98/132,Brock,T,Rare,Gym Heroes 
409,99/132,Charity,T,Rare,Gym Heroes 
410,100/132,Erika,T,Rare,Gym Heroes 
411,101/132,Lt. Surge,T,Rare,Gym Heroes 
412,102/132,Misty,T,Rare,Gym Heroes 
413,103/132,No Removal Gym,T [St],Rare,Gym Heroes 
414,104/132,The Rocket's Training Gym,T [St],Rare,Gym Heroes 
415,105/132,Blaine's Last Resort,T,Uncommon,Gym Heroes 
416,106/132,Brock's Training Method,T,Uncommon,Gym Heroes 
417,107/132,Celadon City Gym,T [St],Uncommon,Gym Heroes 
418,108/132,Cerulean City Gym,T [St],Uncommon,Gym Heroes 
419,109/132,Erika's Maids,T,Uncommon,Gym Heroes 
420,110/132,Erika's Perfume,T,Uncommon,Gym Heroes 
421,111/132,Good Manners,T,Uncommon,Gym Heroes 
422,112/132,Lt. Surge's Treaty,T,Uncommon,Gym Heroes 
423,113/132,Minion of Team Rocket,T,Uncommon,Gym Heroes 
424,114/132,Misty's Wrath,T,Uncommon,Gym Heroes 
425,115/132,Pewter City Gym,T [St],Uncommon,Gym Heroes 
426,116/132,Recall,T,Uncommon,Gym Heroes 
427,117/132,Sabrina's ESP,T,Uncommon,Gym Heroes 
428,118/132,Secret Mission,T,Uncommon,Gym Heroes 
429,119/132,Tickling Machine,T [R],Uncommon,Gym Heroes 
430,120/132,Vermilion City Gym,T [St],Uncommon,Gym Heroes 
431,121/132,Blaine's Gamble,T,Common,Gym Heroes 
432,122/132,Energy Flow,T,Common,Gym Heroes 
433,123/132,Misty's Duel,T,Common,Gym Heroes 
434,124/132,Narrow Gym,T [St],Common,Gym Heroes 
435,125/132,Sabrina's Gaze,T,Common,Gym Heroes 
436,126/132,Trash Exchange,T,Common,Gym Heroes 
437,127/132,Fighting Energy,Fighting,NULL,Gym Heroes 
438,128/132,Fire Energy,Fire,NULL,Gym Heroes 
439,129/132,Grass Energy,Grass,NULL,Gym Heroes 
440,130/132,Lightning Energy,Lightning,NULL,Gym Heroes 
441,131/132,Psychic Energy,Psychic,NULL,Gym Heroes 
442,132/132,Water Energy,Water,NULL,Gym Heroes 
443,1/132,Blaine's Arcanine,Fire,Rare Holo,Gym Challenge 
444,2/132,Blaine's Charizard,Fire,Rare Holo,Gym Challenge 
445,3/132,Brock's Ninetales,Fire,Rare Holo,Gym Challenge 
446,4/132,Erika's Venusaur,Grass,Rare Holo,Gym Challenge 
447,5/132,Giovanni's Gyarados,Water,Rare Holo,Gym Challenge 
448,6/132,Giovanni's Machamp,Fighting,Rare Holo,Gym Challenge 
449,7/132,Giovanni's Nidoking,Grass,Rare Holo,Gym Challenge 
450,8/132,Giovanni's Persian,Colorless,Rare Holo,Gym Challenge 
451,9/132,Koga's Beedrill,Grass,Rare Holo,Gym Challenge 
452,10/132,Koga's Ditto,Colorless,Rare Holo,Gym Challenge 
453,11/132,Lt. Surge's Raichu,Lightning,Rare Holo,Gym Challenge 
454,12/132,Misty's Golduck,Water,Rare Holo,Gym Challenge 
455,13/132,Misty's Gyarados,Water,Rare Holo,Gym Challenge 
456,14/132,Rocket's Mewtwo,Psychic,Rare Holo,Gym Challenge 
457,15/132,Rocket's Zapdos,Lightning,Rare Holo,Gym Challenge 
458,16/132,Sabrina's Alakazam,Psychic,Rare Holo,Gym Challenge 
459,17/132,Blaine,T,Rare Holo,Gym Challenge 
460,18/132,Giovanni,T,Rare Holo,Gym Challenge 
461,19/132,Koga,T,Rare Holo,Gym Challenge 
462,20/132,Sabrina,T,Rare Holo,Gym Challenge 
463,21/132,Blaine's Ninetales,Fire,Rare,Gym Challenge 
464,22/132,Brock's Dugtrio,Fighting,Rare,Gym Challenge 
465,23/132,Giovanni's Nidoqueen,Grass,Rare,Gym Challenge 
466,24/132,Giovanni's Pinsir,Grass,Rare,Gym Challenge 
